Model,Accuracy (Mean),Precision (Mean),Recall (Mean),F1 Score (Mean),Training Time (Mean)
RandomForest (default),0.9347708805483389,0.978742238335923,0.31635944700460833,0.4767345661772734,4.394807004928589
RandomForest (max_depth=5),0.9343343518114361,1.0,0.3043437446663253,0.4659942517689443,2.004202365875244
XGBoost,0.9297934007955947,0.7713309977460922,0.3644649257552483,0.4939009801892752,2.0115936279296873
HistGradientBoost,0.9328497881400353,0.8293790246045532,0.3635347328895716,0.5046846265820519,0.6640001773834229
